Class Name						Is OK ?
---------------------------		-------
TextOnlyFrame:					OK
TextFrame:						OK
UserTextFrame:					OK
TermOfUseFrame:					OK
TextWithLanguageFrame:			OK
RelativeVolumeFrame:			OK
OwnershipFrame:					OK	
SynchronisedText:				OK		
Syllable:						OK
PopularimeterFrame:				OK
LinkFrame:						OK
Price:							OK
BinaryFrame:					OK
PrivateFrame:					OK
DataWithSymbolFrame:			OK
AudioEncryptionFrame:			OK
BaseFileFrame:					OK
GeneralFileFrame:				OK
AttachedPictureFrame:			OK
CommercialFrame:				OK
SynchronisedTempoCodes:			OK
TempoCode:						OK
Equalisation:					OK
FrequencyAdjustmentFrame:		OK
EventTimingCode:				OK
ReverbFrame:					OK
RecommendedBufferSizeFrame:		OK
PositionSynchronisedFrame:		OK
